Basin,Formation,Proxy,has question mark,Assigned date Mya,References
Transvaal,Campbellrand,MIF-S,FALSE,2494,"Farquhar J, Bao H, Thiemens M (2000) Atmospheric influence of Earth’s earliest sulfur cycle. Science 289(5480):756–759"
Transvaal,Duitschland,MIF-S,FALSE,2347,"Guo Q, et al. (2009) Reconstructing Earth’s surface oxidation across the Archean- Proterozoic transition. Geology 37(5):399–402."
Transvaal,Rooihoogte,MIF-S,FALSE,2323,"Luo G, et al. (2016) Rapid oxygenation of Earth’s atmosphere 2.33 billion years ago. Sci Adv 2(5):e1600134. Izon et al. (2022) Bulk and grain-scale minor sulfur isotope data reveal com- plexities in the dynamics of Earth’s oxygenation. Proceedings of the National Academy of Sciences, 119(13)"
Transvaal,Timeball Hill,MIF-S,FALSE,2284,"Poulton et al.(2022). A 200-million-year delay in permanent atmospheric oxygenation. Nature, 592(7853)"
Transvaal,Rietfontein ,MIF-S,FALSE,2245,"Poulton et al.(2022). A 200-million-year delay in permanent atmospheric oxygenation. Nature, 592(7853)"
Transvaal,Duitschland,No MIF-S,FALSE,2337,"Guo Q, et al. (2009) Reconstructing Earth’s surface oxidation across the Archean- Proterozoic transition. Geology 37(5):399–402."
Transvaal,Rooihoogte,No MIF-S,FALSE,2316,"Luo G, et al. (2016) Rapid oxygenation of Earth’s atmosphere 2.33 billion years ago. Sci Adv 2(5):e1600134. Izon et al. (2022) Bulk and grain-scale minor sulfur isotope data reveal com- plexities in the dynamics of Earth’s oxygenation. Proceedings of the National Academy of Sciences, 119(13)"
Transvaal,Timeball Hill,No MIF-S,FALSE,2295,"Poulton et al.(2022). A 200-million-year delay in permanent atmospheric oxygenation. Nature, 592(7853)"
Transvaal,Timeball Hill,No MIF-S,FALSE,2272,"Poulton et al.(2022). A 200-million-year delay in permanent atmospheric oxygenation. Nature, 592(7853)"
Transvaal,Hotazel,Negative Ce anomaly,FALSE,2410,"Bau M, Alexander B (2006) Preservation of primary REE patterns without Ce anomaly during dolomitization of Mid-Paleoproterozoic limestone and the potential re- establishment of marine anoxia immediately after the “Great Oxidation Event.” South Afr J Geol 109(1-2)"
Transvaal,Hotazel,Mn deposits,FALSE,2398,"Kirschvink JL, et al. (2000) Paleoproterozoic snowball earth: Extreme climatic and geochemical global change and its biological consequences. Proc Natl Acad Sci USA 97(4)"
Transvaal,Koegas,Detrital pyrite and uraninite ,FALSE,2465,"Johnson JE, Gerpheide A, Lamb MP, Fischer WW (2014) O2 constraints from Paleo- proterozoic detrital pyrite and uraninite. Geol Soc Am Bull"
Transvaal,Hekpoort,Oxidized paleosol,FALSE,2230,"Beukes NJ, Dorland H, Gutzmer J, Nedachi M, Ohmoto H (2002) Tropical laterites, life on land, and the history of atmospheric oxygen in the Paleoproterozoic. Geology 30(6)"
Transvaal,Dwaalheuwel,Red beds,FALSE,2225,"Eriksson PG, Cheney ES (1992) Evidence for the transition to an oxygen-rich atmo- sphere during the evolution of red beds in the lower Proterozoic sequences of southern Africa. Precambrian Res 54(2-4)"
Huronian,Matinenda,Detrital pyrite and uraninite ,FALSE,2494,Roscoe SM (1969) Huronian rocks and uraniferous conglomerates in the Canadian Shield. Geol Surv Canada Open File 68:
Huronian,Matinenda,Detrital pyrite and uraninite ,FALSE,2440,Roscoe SM (1969) Huronian rocks and uraniferous conglomerates in the Canadian Shield. Geol Surv Canada Open File 68:
Huronian,Matinenda,Reduced paleosol,FALSE,2454,"Murakami T, Utsunomiya S, Imazu Y, Prasad N (2001) Direct evidence of late Archean to early Proterozoic anoxic atmosphere from a product of 2.5 Ga old weathering. Earth Planet Sci Lett 184(2):"
Huronian,Pecors,MIF-S,TRUE,2415,"Papineau D, Mojzsis SJ, Schmitt AK (2007) Multiple sulfur isotopes from Paleo- proterozoic Huronian interglacial sediments and the rise of atmospheric oxygen. Earth Planet Sci Lett 255(1-2)"
Huronian,Mississagi,Detrital pyrite and uraninite ,FALSE,2384,"Ulrich T, Long DGF, Kamber BS, Whitehouse MJ (2011) In situ trace element and sulfur isotope analysis of pyrite in a Paleoproterozoic Gold Placer Deposit, Pardo and Clement Townships, Ontario, Canada. Econ Geol 106(4)"
Huronian,Gowganda,No MIF-S,TRUE,2346,"Papineau D, Mojzsis SJ, Schmitt AK (2007) Multiple sulfur isotopes from Paleo- proterozoic Huronian interglacial sediments and the rise of atmospheric oxygen. Earth Planet Sci Lett 255(1-2)"
Huronian,Lorraine,No MIF-S,TRUE,2300,"Papineau D, Mojzsis SJ, Schmitt AK (2007) Multiple sulfur isotopes from Paleo- proterozoic Huronian interglacial sediments and the rise of atmospheric oxygen. Earth Planet Sci Lett 255(1-2)"
Huronian,Lorraine,Oxidized paleosol,FALSE,2308,"Fedo CM, Nesbitt HW, Young GM (1995) Unraveling the effects of potassium meta- somatism in sedimentary rocks and paleosols, with implications for paleoweathering conditions and provenance. Geology 23(10)"
Huronian,Gordon Lake,Red beds,FALSE,2278,"Sekine Y, et al. (2011) Manganese enrichment in the Gowganda Formation of the Huronian Supergroup: A highly oxidizing shallow-marine environment after the last Huronian glaciation. Earth Planet Sci Lett 307(1-2)"